timestamp,cpu_percent,cpu_freq_mhz,cpu_temp_celsius,memory_percent,memory_used_gb,memory_total_gb,disk_percent,disk_used_gb,disk_total_gb,load_1min,load_5min,load_15min,network_bytes_sent,network_bytes_recv
2025-07-27 21:42:36,8.5,1800.0,37.97,5.4,0.28,7.63,30.18,17.57,58.2,0.21,0.25,0.18,710288,2852591
2025-07-27 21:42:47,0.0,600.0,37.97,5.4,0.28,7.63,30.18,17.57,58.2,0.16,0.24,0.18,712936,2855630
2025-07-27 21:42:58,9.0,1800.0,37.97,5.4,0.28,7.63,30.18,17.57,58.2,0.13,0.23,0.18,724913,2928031
2025-07-27 21:43:09,0.2,600.0,37.97,5.4,0.28,7.63,30.18,17.57,58.2,0.19,0.24,0.18,729524,2937171
2025-07-27 21:43:20,0.3,1800.0,38.46,5.6,0.29,7.63,30.18,17.57,58.2,0.16,0.23,0.18,737943,3003823
2025-07-27 21:43:31,0.0,600.0,37.48,5.4,0.28,7.63,30.18,17.57,58.2,0.13,0.22,0.18,746349,3033602
2025-07-27 21:43:42,0.0,800.0,37.48,5.7,0.31,7.63,30.18,17.57,58.2,0.1,0.21,0.17,753518,3088815
2025-07-27 21:43:53,0.0,1800.0,37.97,5.4,0.28,7.63,30.18,17.57,58.2,0.09,0.2,0.17,758744,3100499
2025-07-27 21:44:04,0.7,1800.0,37.97,5.7,0.3,7.63,30.18,17.57,58.2,0.15,0.21,0.18,769552,3154854
2025-07-27 21:44:15,0.0,1800.0,37.97,5.4,0.28,7.63,30.18,17.57,58.2,0.13,0.21,0.17,772980,3188551
2025-07-27 21:44:26,9.1,1800.0,38.46,5.7,0.3,7.63,30.18,17.57,58.2,0.11,0.2,0.17,781252,3237900
2025-07-27 21:44:37,12.9,1800.0,37.97,5.4,0.28,7.63,30.18,17.57,58.2,0.16,0.21,0.18,786836,3262180
2025-07-27 21:44:48,19.6,1800.0,37.48,5.7,0.31,7.63,30.18,17.57,58.2,0.14,0.2,0.17,792693,3299358
2025-07-27 21:44:59,0.0,600.0,37.48,5.4,0.28,7.63,30.18,17.57,58.2,0.12,0.19,0.17,797242,3331939
2025-07-27 21:45:10,11.7,1800.0,37.0,5.7,0.3,7.63,30.18,17.57,58.2,0.1,0.18,0.17,805849,3368680
2025-07-27 21:45:21,0.3,600.0,36.51,5.4,0.28,7.63,30.18,17.57,58.2,0.16,0.2,0.17,812741,3408029
2025-07-27 21:45:32,8.5,1800.0,37.0,5.6,0.3,7.63,30.18,17.57,58.2,0.2,0.2,0.18,823263,3438802
2025-07-27 21:45:43,0.0,600.0,37.97,5.4,0.28,7.63,30.18,17.57,58.2,0.25,0.21,0.18,829154,3503977
2025-07-27 21:45:54,0.2,600.0,36.02,5.4,0.28,7.63,30.18,17.57,58.2,0.29,0.22,0.18,830494,3504872
2025-07-27 21:46:05,0.0,600.0,37.48,5.4,0.28,7.63,30.18,17.57,58.2,0.24,0.21,0.18,842386,3573724
2025-07-27 21:46:16,0.0,600.0,37.0,5.4,0.28,7.63,30.18,17.57,58.2,0.2,0.21,0.18,847386,3577116
2025-07-27 21:46:27,0.0,600.0,37.0,5.4,0.28,7.63,30.18,17.57,58.2,0.3,0.23,0.19,859873,3669881
2025-07-27 21:46:38,0.0,1800.0,36.51,5.4,0.28,7.63,30.18,17.57,58.2,0.25,0.22,0.18,866367,3673882
2025-07-27 21:46:49,0.2,1800.0,38.46,5.4,0.28,7.63,30.18,17.57,58.2,0.21,0.21,0.18,874425,3739848
2025-07-27 21:47:00,0.0,1800.0,37.48,5.4,0.28,7.63,30.18,17.57,58.2,0.18,0.2,0.18,877963,3743401
2025-07-27 21:47:11,0.8,1800.0,37.97,5.4,0.28,7.63,30.19,17.57,58.2,0.15,0.2,0.18,890562,3820004
2025-07-27 21:47:22,10.5,1800.0,37.48,5.4,0.28,7.63,30.19,17.57,58.2,0.33,0.24,0.19,891601,3820443
2025-07-27 21:47:33,12.3,1800.0,37.48,5.4,0.28,7.63,30.19,17.57,58.2,0.28,0.23,0.19,907193,3914068
2025-07-27 21:47:44,2.5,1800.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.24,0.22,0.18,910720,3919896
2025-07-27 21:47:55,0.0,600.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.2,0.21,0.18,918674,3986062
2025-07-27 21:48:06,0.3,600.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.24,0.22,0.18,923017,3988018
2025-07-27 21:48:17,0.2,600.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.19,0.21,0.18,933275,4056196
2025-07-27 21:48:28,0.5,600.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.16,0.2,0.18,944547,4065284
2025-07-27 21:48:39,0.5,600.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.21,0.21,0.18,952425,4131174
2025-07-27 21:48:50,0.0,600.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.18,0.21,0.18,953572,4132315
2025-07-27 21:49:01,1.0,600.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.15,0.2,0.18,961443,4199723
2025-07-27 21:49:12,0.7,600.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.19,0.2,0.18,967977,4210652
2025-07-27 21:49:23,0.0,600.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.16,0.2,0.18,978799,4278460
2025-07-27 21:49:34,0.2,1800.0,37.97,5.4,0.28,7.63,30.19,17.57,58.2,0.13,0.19,0.18,984279,4286661
2025-07-27 21:49:45,0.0,1800.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.19,0.2,0.18,992374,4353728
2025-07-27 21:49:56,0.5,1800.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.16,0.19,0.18,993326,4354726
2025-07-27 21:50:07,5.6,1800.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.27,0.22,0.19,1002462,4422134
2025-07-27 21:50:18,13.4,1800.0,37.48,5.4,0.28,7.63,30.19,17.57,58.2,0.23,0.21,0.18,1011264,4431444
2025-07-27 21:50:29,7.1,1800.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.2,0.2,0.18,1023913,4504163
2025-07-27 21:50:40,0.2,600.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.16,0.2,0.18,1025781,4505398
2025-07-27 21:50:51,0.2,1800.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.21,0.2,0.18,1033911,4591432
2025-07-27 21:51:02,0.0,600.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.16,0.19,0.18,1034931,4592538
2025-07-27 21:51:13,0.0,600.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.21,0.2,0.18,1047234,4666081
2025-07-27 21:51:24,0.2,600.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.25,0.21,0.18,1049914,4668401
2025-07-27 21:51:35,0.0,600.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.21,0.21,0.18,1065002,4745106
2025-07-27 21:51:46,0.5,600.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.18,0.2,0.18,1065802,4745306
2025-07-27 21:51:57,0.0,600.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.21,0.21,0.18,1073701,4811222
2025-07-27 21:52:08,0.0,600.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.18,0.2,0.18,1080746,4820874
2025-07-27 21:52:19,0.0,600.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.15,0.19,0.18,1091925,4908871
2025-07-27 21:52:30,0.7,1800.0,37.97,5.4,0.28,7.63,30.19,17.57,58.2,0.21,0.2,0.18,1099736,4917502
2025-07-27 21:52:41,0.0,600.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.18,0.2,0.18,1110464,4991398
2025-07-27 21:52:52,1.3,1800.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.2,0.2,0.18,1111176,4991537
2025-07-27 21:53:03,11.3,900.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.25,0.21,0.19,1120879,5077956
2025-07-27 21:53:14,11.9,1800.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.21,0.2,0.18,1125138,5086732
2025-07-27 21:53:25,2.0,1800.0,38.46,5.4,0.28,7.63,30.19,17.57,58.2,0.18,0.2,0.18,1133722,5151900
2025-07-27 21:53:36,0.0,600.0,36.02,5.4,0.28,7.63,30.19,17.57,58.2,0.15,0.19,0.18,1140200,5156561
2025-07-27 21:53:47,0.0,1800.0,37.48,5.4,0.28,7.63,30.19,17.57,58.2,0.12,0.18,0.18,1150439,5228724
2025-07-27 21:53:59,0.7,600.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.1,0.17,0.17,1153705,5231917
2025-07-27 21:54:10,0.0,1800.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.16,0.18,0.18,1163394,5300913
2025-07-27 21:54:21,0.5,600.0,37.48,5.4,0.28,7.63,30.19,17.57,58.2,0.13,0.18,0.18,1166314,5302263
2025-07-27 21:54:32,0.0,1800.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.11,0.17,0.17,1181569,5396413
2025-07-27 21:54:43,0.0,600.0,36.02,5.4,0.28,7.63,30.19,17.57,58.2,0.16,0.18,0.18,1182652,5397156
2025-07-27 21:54:54,0.0,600.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.22,0.19,0.18,1196984,5471847
2025-07-27 21:55:05,0.0,1800.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.18,0.18,0.18,1199150,5472770
2025-07-27 21:55:16,0.0,1800.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.23,0.19,0.18,1210361,5548440
2025-07-27 21:55:27,0.0,1800.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.2,0.19,0.18,1212075,5549482
2025-07-27 21:55:38,5.8,1800.0,37.48,5.4,0.28,7.63,30.19,17.57,58.2,0.15,0.18,0.18,1225057,5638204
2025-07-27 21:55:49,6.3,1800.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.21,0.19,0.18,1228727,5640358
2025-07-27 21:56:00,21.5,1800.0,37.97,5.4,0.28,7.63,30.19,17.57,58.2,0.26,0.2,0.18,1237002,5708785
2025-07-27 21:56:11,6.3,1800.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.22,0.19,0.18,1239190,5709569
2025-07-27 21:56:22,8.8,1800.0,37.48,5.4,0.28,7.63,30.19,17.57,58.2,0.18,0.18,0.18,1249603,5797860
2025-07-27 21:56:33,0.2,600.0,36.02,5.4,0.28,7.63,30.19,17.57,58.2,0.21,0.19,0.18,1256711,5804326
2025-07-27 21:56:44,0.7,1800.0,37.0,5.7,0.3,7.63,30.19,17.57,58.2,0.18,0.18,0.18,1265552,5869335
2025-07-27 21:56:55,0.2,600.0,36.02,5.4,0.28,7.63,30.19,17.57,58.2,0.22,0.19,0.18,1271179,5881262
2025-07-27 21:57:06,0.0,1800.0,36.02,5.7,0.3,7.63,30.19,17.57,58.2,0.19,0.19,0.18,1278945,5938722
2025-07-27 21:57:17,0.0,600.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.16,0.18,0.18,1284552,5956233
2025-07-27 21:57:28,2.2,1800.0,36.51,5.7,0.31,7.63,30.19,17.57,58.2,0.2,0.19,0.18,1291736,6007380
2025-07-27 21:57:39,0.7,600.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.17,0.18,0.18,1303270,6052066
2025-07-27 21:57:50,6.7,600.0,36.51,5.7,0.3,7.63,30.19,17.57,58.2,0.14,0.17,0.18,1308820,6092718
2025-07-27 21:58:01,0.3,1800.0,37.48,5.4,0.28,7.63,30.19,17.57,58.2,0.2,0.18,0.18,1314652,6121370
2025-07-27 21:58:12,10.2,1800.0,37.0,5.7,0.3,7.63,30.19,17.57,58.2,0.17,0.18,0.18,1321258,6155199
2025-07-27 21:58:23,0.0,1800.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.13,0.17,0.18,1329179,6195631
2025-07-27 21:58:34,11.3,1800.0,37.97,5.7,0.3,7.63,30.19,17.57,58.2,0.19,0.18,0.18,1335650,6227259
2025-07-27 21:58:45,11.8,1800.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.16,0.17,0.18,1340316,6267377
2025-07-27 21:58:56,17.4,1800.0,37.0,5.5,0.29,7.63,30.19,17.57,58.2,0.13,0.17,0.18,1346009,6294469
2025-07-27 21:59:07,1.3,1800.0,36.02,5.4,0.28,7.63,30.19,17.57,58.2,0.11,0.16,0.17,1352509,6342439
2025-07-27 21:59:18,1.5,800.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.16,0.17,0.18,1355227,6349849
2025-07-27 21:59:29,0.2,600.0,36.02,5.4,0.28,7.63,30.19,17.57,58.2,0.13,0.16,0.18,1364689,6416215
2025-07-27 21:59:40,0.5,600.0,35.54,5.4,0.28,7.63,30.19,17.57,58.2,0.11,0.16,0.17,1365641,6417215
2025-07-27 21:59:51,0.0,600.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.17,0.17,0.18,1373593,6504141
2025-07-27 22:00:02,0.2,600.0,37.0,5.4,0.28,7.63,30.19,17.57,58.2,0.14,0.16,0.18,1375289,6506630
2025-07-27 22:00:13,0.2,600.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.18,0.17,0.18,1384895,6575097
2025-07-27 22:00:24,0.2,600.0,36.51,5.4,0.28,7.63,30.19,17.57,58.2,0.15,0.17,0.18,1389858,6584074
2025-07-27 22:00:35,0.2,1800.0,37.48,5.4,0.28,7.63,30.19,17.57,58.2,0.28,0.19,0.18,1398114,6650599
